"transp_tech","season","zone_start","zone_end","rate"
"pipe_gas","shoulder","residential","quality",0.00
"pipe_gas","wint","residential","reserved",6.31
"pipe_gas","sum","residential","reserved",0.00
"pipe_gas","shoulder","residential","reserved",3.16
"pipe_gas","wint","residential","residential",0.00
"pipe_gas","sum","residential","residential",0.00
"pipe_gas","shoulder","residential","residential",0.00
"pipe_gas","wint","residential","school",0.00
"pipe_gas","sum","residential","school",0.00
"pipe_gas","shoulder","residential","school",0.00
"pipe_gas","wint","residential","tech",0.00
"pipe_gas","sum","residential","tech",0.00
"pipe_gas","shoulder","residential","tech",0.00
"pipe_gas","wint","school","dormitories",0.00
"pipe_gas","sum","school","dormitories",0.00
"pipe_gas","shoulder","school","dormitories",0.00
"pipe_gas","wint","school","energyIsland",0.00
"pipe_gas","sum","school","energyIsland",0.00
"pipe_gas","shoulder","school","energyIsland",0.00
"pipe_gas","wint","school","factory",0.00
"pipe_gas","sum","school","factory",0.00
"pipe_gas","shoulder","school","factory",0.00
"pipe_gas","wint","school","factory_assembly",0.00
"pipe_gas","sum","school","factory_assembly",0.00
"pipe_gas","shoulder","school","factory_assembly",0.00
"pipe_gas","wint","school","factory_blades",0.00
"pipe_gas","sum","school","factory_blades",0.00
"pipe_gas","shoulder","school","factory_blades",0.00
"pipe_gas","wint","school","hospital",0.00
"pipe_gas","sum","school","hospital",0.00
"pipe_gas","shoulder","school","hospital",0.00
"pipe_gas","wint","school","multifunction",0.00
"pipe_gas","sum","school","multifunction",0.00
"pipe_gas","shoulder","school","multifunction",0.00
"pipe_gas","wint","school","northDistrict",0.00
"pipe_gas","sum","school","northDistrict",0.00
"pipe_gas","shoulder","school","northDistrict",0.00
"pipe_gas","wint","school","quality",0.00
"pipe_gas","sum","school","quality",0.00
"pipe_gas","shoulder","school","quality",0.00
"pipe_gas","wint","school","reserved",0.00
"pipe_gas","sum","school","reserved",0.00
"pipe_gas","shoulder","school","reserved",0.00
"pipe_gas","wint","school","residential",0.00
"pipe_gas","sum","school","residential",0.00
"pipe_gas","shoulder","school","residential",0.00
"pipe_gas","wint","school","school",0.00
"pipe_gas","sum","school","school",0.00
"pipe_gas","shoulder","school","school",0.00
"pipe_gas","wint","school","tech",0.00
"pipe_gas","sum","school","tech",0.00
"pipe_gas","shoulder","school","tech",0.00
"pipe_gas","wint","tech","dormitories",0.00
"pipe_gas","sum","tech","dormitories",0.00
"pipe_gas","shoulder","tech","dormitories",0.00
"pipe_gas","wint","tech","energyIsland",0.00
"pipe_gas","sum","tech","energyIsland",0.00
"pipe_gas","shoulder","tech","energyIsland",0.00
"pipe_gas","wint","tech","factory",0.00
"pipe_gas","sum","tech","factory",0.00
"pipe_gas","shoulder","tech","factory",0.00
"pipe_gas","wint","tech","factory_assembly",0.00
"pipe_gas","sum","tech","factory_assembly",0.00
"pipe_gas","shoulder","tech","factory_assembly",0.00
"pipe_gas","wint","tech","factory_blades",0.00
"pipe_gas","sum","tech","factory_blades",0.00
"pipe_gas","shoulder","tech","factory_blades",0.00
"pipe_gas","wint","tech","hospital",0.00
"pipe_gas","sum","tech","hospital",0.00
"pipe_gas","shoulder","tech","hospital",0.00
"pipe_gas","wint","tech","multifunction",0.00
"pipe_gas","sum","tech","multifunction",0.00
"pipe_gas","shoulder","tech","multifunction",0.00
"pipe_gas","wint","tech","northDistrict",0.00
"pipe_gas","sum","tech","northDistrict",0.00
"pipe_gas","shoulder","tech","northDistrict",0.00
"pipe_gas","wint","tech","quality",0.00
"pipe_gas","sum","tech","quality",0.00
"pipe_gas","shoulder","tech","quality",0.00
"pipe_gas","wint","tech","reserved",0.00
"pipe_gas","sum","tech","reserved",0.00
"pipe_gas","shoulder","tech","reserved",0.00
"pipe_gas","wint","tech","residential",0.00
"pipe_gas","sum","tech","residential",0.00
"pipe_gas","shoulder","tech","residential",0.00
"pipe_gas","wint","tech","school",0.00
"pipe_gas","sum","tech","school",0.00
"pipe_gas","shoulder","tech","school",0.00
"pipe_gas","wint","tech","tech",0.00
"pipe_gas","sum","tech","tech",0.00
"pipe_gas","shoulder","tech","tech",0.00
"cable","wint","dormitories","dormitories",0.00
"cable","sum","dormitories","dormitories",0.00
"cable","shoulder","dormitories","dormitories",0.00
"cable","wint","dormitories","energyIsland",0.00
"cable","sum","dormitories","energyIsland",0.00
"cable","shoulder","dormitories","energyIsland",0.00
"cable","wint","dormitories","factory",0.00
"cable","sum","dormitories","factory",0.00
"cable","shoulder","dormitories","factory",0.00
"cable","wint","dormitories","factory_assembly",0.00
"cable","sum","dormitories","factory_assembly",0.00
"cable","shoulder","dormitories","factory_assembly",0.00
"cable","wint","dormitories","factory_blades",0.00
"cable","sum","dormitories","factory_blades",0.00
"cable","shoulder","dormitories","factory_blades",0.00
"cable","wint","dormitories","hospital",0.00
"cable","sum","dormitories","hospital",0.00
"cable","shoulder","dormitories","hospital",0.00
"cable","wint","dormitories","multifunction",0.00
"cable","sum","dormitories","multifunction",0.00
"cable","shoulder","dormitories","multifunction",0.00
"cable","wint","dormitories","northDistrict",0.00
"cable","sum","dormitories","northDistrict",0.00
"cable","shoulder","dormitories","northDistrict",0.00
"cable","wint","dormitories","quality",0.00
"cable","sum","dormitories","quality",0.00
"cable","shoulder","dormitories","quality",0.00
"cable","wint","dormitories","reserved",0.00
"cable","sum","dormitories","reserved",0.00
"cable","shoulder","dormitories","reserved",0.00
"cable","wint","dormitories","residential",0.00
"cable","sum","dormitories","residential",0.00
"cable","shoulder","dormitories","residential",0.00
"cable","wint","dormitories","school",0.00
"cable","sum","dormitories","school",0.00
"cable","shoulder","dormitories","school",0.00
"cable","wint","dormitories","tech",0.00
"cable","sum","dormitories","tech",0.00
"cable","shoulder","dormitories","tech",0.00
"cable","wint","energyIsland","dormitories",0.00
"cable","sum","energyIsland","dormitories",0.00
"cable","shoulder","energyIsland","dormitories",0.00
"cable","wint","energyIsland","energyIsland",0.00
"cable","sum","energyIsland","energyIsland",0.00
"cable","shoulder","energyIsland","energyIsland",0.00
"cable","wint","energyIsland","factory",0.00
"cable","sum","energyIsland","factory",0.00
"cable","shoulder","energyIsland","factory",0.00
"cable","wint","energyIsland","factory_assembly",0.00
"cable","sum","energyIsland","factory_assembly",0.00
"cable","shoulder","energyIsland","factory_assembly",0.00
"cable","wint","energyIsland","factory_blades",0.00
"cable","sum","energyIsland","factory_blades",0.00
"cable","shoulder","energyIsland","factory_blades",0.00
"cable","wint","energyIsland","hospital",0.00
"cable","sum","energyIsland","hospital",0.00
"cable","shoulder","energyIsland","hospital",0.00
"cable","wint","energyIsland","multifunction",0.00
"cable","sum","energyIsland","multifunction",0.00
"cable","shoulder","energyIsland","multifunction",0.00
"cable","wint","energyIsland","northDistrict",19.73
"cable","sum","energyIsland","northDistrict",559.85
"cable","shoulder","energyIsland","northDistrict",19.73
"cable","wint","energyIsland","quality",0.00
"cable","sum","energyIsland","quality",0.00
"cable","shoulder","energyIsland","quality",0.00
"cable","wint","energyIsland","reserved",0.00
"cable","sum","energyIsland","reserved",0.00
