"transp_tech","resource","season","zone","value"
"pipe_gas","coal","shoulder","reserved",0.00
"pipe_gas","coal","wint","residential",0.00
"pipe_gas","coal","sum","residential",0.00
"pipe_gas","coal","shoulder","residential",0.00
"pipe_gas","coal","wint","school",0.00
"pipe_gas","coal","sum","school",0.00
"pipe_gas","coal","shoulder","school",0.00
"pipe_gas","coal","wint","tech",0.00
"pipe_gas","coal","sum","tech",0.00
"pipe_gas","coal","shoulder","tech",0.00
"pipe_gas","coke","wint","dormitories",0.00
"pipe_gas","coke","sum","dormitories",0.00
"pipe_gas","coke","shoulder","dormitories",0.00
"pipe_gas","coke","wint","energyIsland",0.00
"pipe_gas","coke","sum","energyIsland",0.00
"pipe_gas","coke","shoulder","energyIsland",0.00
"pipe_gas","coke","wint","factory",0.00
"pipe_gas","coke","sum","factory",0.00
"pipe_gas","coke","shoulder","factory",0.00
"pipe_gas","coke","wint","factory_assembly",0.00
"pipe_gas","coke","sum","factory_assembly",0.00
"pipe_gas","coke","shoulder","factory_assembly",0.00
"pipe_gas","coke","wint","factory_blades",0.00
"pipe_gas","coke","sum","factory_blades",0.00
"pipe_gas","coke","shoulder","factory_blades",0.00
"pipe_gas","coke","wint","hospital",0.00
"pipe_gas","coke","sum","hospital",0.00
"pipe_gas","coke","shoulder","hospital",0.00
"pipe_gas","coke","wint","multifunction",0.00
"pipe_gas","coke","sum","multifunction",0.00
"pipe_gas","coke","shoulder","multifunction",0.00
"pipe_gas","coke","wint","northDistrict",0.00
"pipe_gas","coke","sum","northDistrict",0.00
"pipe_gas","coke","shoulder","northDistrict",0.00
"pipe_gas","coke","wint","quality",0.00
"pipe_gas","coke","sum","quality",0.00
"pipe_gas","coke","shoulder","quality",0.00
"pipe_gas","coke","wint","reserved",0.00
"pipe_gas","coke","sum","reserved",0.00
"pipe_gas","coke","shoulder","reserved",0.00
"pipe_gas","coke","wint","residential",0.00
"pipe_gas","coke","sum","residential",0.00
"pipe_gas","coke","shoulder","residential",0.00
"pipe_gas","coke","wint","school",0.00
"pipe_gas","coke","sum","school",0.00
"pipe_gas","coke","shoulder","school",0.00
"pipe_gas","coke","wint","tech",0.00
"pipe_gas","coke","sum","tech",0.00
"pipe_gas","coke","shoulder","tech",0.00
"pipe_gas","cold_primary_feed","wint","dormitories",0.00
"pipe_gas","cold_primary_feed","sum","dormitories",0.00
"pipe_gas","cold_primary_feed","shoulder","dormitories",0.00
"pipe_gas","cold_primary_feed","wint","energyIsland",0.00
"pipe_gas","cold_primary_feed","sum","energyIsland",0.00
"pipe_gas","cold_primary_feed","shoulder","energyIsland",0.00
"pipe_gas","cold_primary_feed","wint","factory",0.00
"pipe_gas","cold_primary_feed","sum","factory",0.00
"pipe_gas","cold_primary_feed","shoulder","factory",0.00
"pipe_gas","cold_primary_feed","wint","factory_assembly",0.00
"pipe_gas","cold_primary_feed","sum","factory_assembly",0.00
"pipe_gas","cold_primary_feed","shoulder","factory_assembly",0.00
"pipe_gas","cold_primary_feed","wint","factory_blades",0.00
"pipe_gas","cold_primary_feed","sum","factory_blades",0.00
"pipe_gas","cold_primary_feed","shoulder","factory_blades",0.00
"pipe_gas","cold_primary_feed","wint","hospital",0.00
"pipe_gas","cold_primary_feed","sum","hospital",0.00
"pipe_gas","cold_primary_feed","shoulder","hospital",0.00
"pipe_gas","cold_primary_feed","wint","multifunction",0.00
"pipe_gas","cold_primary_feed","sum","multifunction",0.00
"pipe_gas","cold_primary_feed","shoulder","multifunction",0.00
"pipe_gas","cold_primary_feed","wint","northDistrict",0.00
"pipe_gas","cold_primary_feed","sum","northDistrict",0.00
"pipe_gas","cold_primary_feed","shoulder","northDistrict",0.00
"pipe_gas","cold_primary_feed","wint","quality",0.00
"pipe_gas","cold_primary_feed","sum","quality",0.00
"pipe_gas","cold_primary_feed","shoulder","quality",0.00
"pipe_gas","cold_primary_feed","wint","reserved",0.00
"pipe_gas","cold_primary_feed","sum","reserved",0.00
"pipe_gas","cold_primary_feed","shoulder","reserved",0.00
"pipe_gas","cold_primary_feed","wint","residential",0.00
"pipe_gas","cold_primary_feed","sum","residential",0.00
"pipe_gas","cold_primary_feed","shoulder","residential",0.00
"pipe_gas","cold_primary_feed","wint","school",0.00
"pipe_gas","cold_primary_feed","sum","school",0.00
"pipe_gas","cold_primary_feed","shoulder","school",0.00
"pipe_gas","cold_primary_feed","wint","tech",0.00
