"process","resource","season","zone","value"
"airCon_central","cold_primary_feed","shoulder","factory",0.00
"airCon_central","cold_primary_feed","wint","factory_assembly",0.00
"airCon_central","cold_primary_feed","sum","factory_assembly",0.00
"airCon_central","cold_primary_feed","shoulder","factory_assembly",0.00
"airCon_central","cold_primary_feed","wint","factory_blades",0.00
"airCon_central","cold_primary_feed","sum","factory_blades",0.00
"airCon_central","cold_primary_feed","shoulder","factory_blades",0.00
"airCon_central","cold_primary_feed","wint","hospital",0.00
"airCon_central","cold_primary_feed","sum","hospital",0.00
"airCon_central","cold_primary_feed","shoulder","hospital",0.00
"airCon_central","cold_primary_feed","wint","multifunction",0.00
"airCon_central","cold_primary_feed","sum","multifunction",0.00
"airCon_central","cold_primary_feed","shoulder","multifunction",0.00
"airCon_central","cold_primary_feed","wint","northDistrict",0.00
"airCon_central","cold_primary_feed","sum","northDistrict",0.00
"airCon_central","cold_primary_feed","shoulder","northDistrict",0.00
"airCon_central","cold_primary_feed","wint","quality",0.00
"airCon_central","cold_primary_feed","sum","quality",0.00
"airCon_central","cold_primary_feed","shoulder","quality",0.00
"airCon_central","cold_primary_feed","wint","reserved",0.00
"airCon_central","cold_primary_feed","sum","reserved",0.00
"airCon_central","cold_primary_feed","shoulder","reserved",0.00
"airCon_central","cold_primary_feed","wint","residential",0.00
"airCon_central","cold_primary_feed","sum","residential",0.00
"airCon_central","cold_primary_feed","shoulder","residential",0.00
"airCon_central","cold_primary_feed","wint","school",0.00
"airCon_central","cold_primary_feed","sum","school",0.00
"airCon_central","cold_primary_feed","shoulder","school",0.00
"airCon_central","cold_primary_feed","wint","tech",0.00
"airCon_central","cold_primary_feed","sum","tech",0.00
"airCon_central","cold_primary_feed","shoulder","tech",0.00
"airCon_central","cold_primary_return","wint","dormitories",0.00
"airCon_central","cold_primary_return","sum","dormitories",0.00
"airCon_central","cold_primary_return","shoulder","dormitories",0.00
"airCon_central","cold_primary_return","wint","energyIsland",0.00
"airCon_central","cold_primary_return","sum","energyIsland",0.00
"airCon_central","cold_primary_return","shoulder","energyIsland",0.00
"airCon_central","cold_primary_return","wint","factory",0.00
"airCon_central","cold_primary_return","sum","factory",0.00
"airCon_central","cold_primary_return","shoulder","factory",0.00
"airCon_central","cold_primary_return","wint","factory_assembly",0.00
"airCon_central","cold_primary_return","sum","factory_assembly",0.00
"airCon_central","cold_primary_return","shoulder","factory_assembly",0.00
"airCon_central","cold_primary_return","wint","factory_blades",0.00
"airCon_central","cold_primary_return","sum","factory_blades",0.00
"airCon_central","cold_primary_return","shoulder","factory_blades",0.00
"airCon_central","cold_primary_return","wint","hospital",0.00
"airCon_central","cold_primary_return","sum","hospital",0.00
"airCon_central","cold_primary_return","shoulder","hospital",0.00
"airCon_central","cold_primary_return","wint","multifunction",0.00
"airCon_central","cold_primary_return","sum","multifunction",0.00
"airCon_central","cold_primary_return","shoulder","multifunction",0.00
"airCon_central","cold_primary_return","wint","northDistrict",0.00
"airCon_central","cold_primary_return","sum","northDistrict",0.00
"airCon_central","cold_primary_return","shoulder","northDistrict",0.00
"airCon_central","cold_primary_return","wint","quality",0.00
"airCon_central","cold_primary_return","sum","quality",0.00
"airCon_central","cold_primary_return","shoulder","quality",0.00
"airCon_central","cold_primary_return","wint","reserved",0.00
"airCon_central","cold_primary_return","sum","reserved",0.00
"airCon_central","cold_primary_return","shoulder","reserved",0.00
"airCon_central","cold_primary_return","wint","residential",0.00
"airCon_central","cold_primary_return","sum","residential",0.00
"airCon_central","cold_primary_return","shoulder","residential",0.00
