"process","resource","season","zone","value"
"anaerobicFermentation","biooil","shoulder","energyIsland",0.00
"anaerobicFermentation","biooil","wint","factory",0.00
"anaerobicFermentation","biooil","sum","factory",0.00
"anaerobicFermentation","biooil","shoulder","factory",0.00
"anaerobicFermentation","biooil","wint","factory_assembly",0.00
"anaerobicFermentation","biooil","sum","factory_assembly",0.00
"anaerobicFermentation","biooil","shoulder","factory_assembly",0.00
"anaerobicFermentation","biooil","wint","factory_blades",0.00
"anaerobicFermentation","biooil","sum","factory_blades",0.00
"anaerobicFermentation","biooil","shoulder","factory_blades",0.00
"anaerobicFermentation","biooil","wint","hospital",0.00
"anaerobicFermentation","biooil","sum","hospital",0.00
"anaerobicFermentation","biooil","shoulder","hospital",0.00
"anaerobicFermentation","biooil","wint","multifunction",0.00
"anaerobicFermentation","biooil","sum","multifunction",0.00
"anaerobicFermentation","biooil","shoulder","multifunction",0.00
"anaerobicFermentation","biooil","wint","northDistrict",0.00
"anaerobicFermentation","biooil","sum","northDistrict",0.00
"anaerobicFermentation","biooil","shoulder","northDistrict",0.00
"anaerobicFermentation","biooil","wint","quality",0.00
"anaerobicFermentation","biooil","sum","quality",0.00
"anaerobicFermentation","biooil","shoulder","quality",0.00
"anaerobicFermentation","biooil","wint","reserved",0.00
"anaerobicFermentation","biooil","sum","reserved",0.00
"anaerobicFermentation","biooil","shoulder","reserved",0.00
"anaerobicFermentation","biooil","wint","residential",0.00
"anaerobicFermentation","biooil","sum","residential",0.00
"anaerobicFermentation","biooil","shoulder","residential",0.00
"anaerobicFermentation","biooil","wint","school",0.00
"anaerobicFermentation","biooil","sum","school",0.00
"anaerobicFermentation","biooil","shoulder","school",0.00
"anaerobicFermentation","biooil","wint","tech",0.00
"anaerobicFermentation","biooil","sum","tech",0.00
"anaerobicFermentation","biooil","shoulder","tech",0.00
"anaerobicFermentation","butanol","wint","dormitories",0.00
"anaerobicFermentation","butanol","sum","dormitories",0.00
"anaerobicFermentation","butanol","shoulder","dormitories",0.00
"anaerobicFermentation","butanol","wint","energyIsland",0.00
"anaerobicFermentation","butanol","sum","energyIsland",0.00
"anaerobicFermentation","butanol","shoulder","energyIsland",0.00
"anaerobicFermentation","butanol","wint","factory",0.00
"anaerobicFermentation","butanol","sum","factory",0.00
"anaerobicFermentation","butanol","shoulder","factory",0.00
"anaerobicFermentation","butanol","wint","factory_assembly",0.00
"anaerobicFermentation","butanol","sum","factory_assembly",0.00
"anaerobicFermentation","butanol","shoulder","factory_assembly",0.00
"anaerobicFermentation","butanol","wint","factory_blades",0.00
"anaerobicFermentation","butanol","sum","factory_blades",0.00
"anaerobicFermentation","butanol","shoulder","factory_blades",0.00
"anaerobicFermentation","butanol","wint","hospital",0.00
"anaerobicFermentation","butanol","sum","hospital",0.00
"anaerobicFermentation","butanol","shoulder","hospital",0.00
"anaerobicFermentation","butanol","wint","multifunction",0.00
